,Unnamed: 0,district,rooms,size,level,max_levels,price
423,430,Do'stlik,2,60.0,4,4,34000.0
424,431,Do'stlik,2,60.0,3,4,34500.0
425,432,Do'stlik,2,78.0,1,9,33998.0
426,433,Do'stlik,2,50.0,4,4,34000.0
427,434,Do'stlik,2,60.0,4,4,34000.0
428,435,Uchtepa,3,75.0,5,9,64700.0
429,436,Do'stlik,4,82.0,1,4,85500.0
430,437,Ittifoq,1,36.0,1,5,25500.0
431,438,Ittifoq,1,36.0,2,5,28500.0
432,439,Ittifoq,1,42.0,4,4,28000.0
433,440,Ittifoq,1,46.0,2,5,31500.0
434,441,Ittifoq,2,50.0,1,5,36000.0
435,442,Toshloq,3,75.0,5,9,55000.0
436,443,Ittifoq,3,75.0,9,9,60000.0
437,444,Do'stlik,2,64.0,5,9,37000.0
438,445,Toshloq,2,60.0,4,9,47000.0
439,446,Do'stlik,4,90.0,4,4,53000.0
440,447,Zilol,4,86.0,3,5,50000.0
441,448,Zilol,3,72.0,1,4,46000.0
442,449,Bunyodkor,5,105.0,7,9,85000.0
443,450,Toshloq,1,34.0,2,4,29000.0
444,451,Zilol,1,28.0,1,4,21500.0
445,452,Ittifoq,2,47.0,4,4,35500.0
446,453,Ittifoq,2,42.0,1,4,39600.0
447,454,Ittifoq,3,110.0,2,8,160000.0
448,455,Olmazor,1,40.0,2,9,42000.0
449,456,Ittifoq,2,50.0,4,4,40500.0
450,457,Ittifoq,1,29.0,4,4,24500.0
451,458,Ittifoq,2,42.0,4,4,34000.0
452,459,Ittifoq,2,42.0,3,4,36999.0
453,460,Ittifoq,3,65.0,4,5,30000.0
454,461,Do'stlik,3,65.0,3,5,45000.0
455,462,Ittifoq,2,45.0,3,5,26000.0
456,463,Zilol,4,90.0,3,4,133000.0
457,464,Zilol,4,86.0,4,5,60000.0
458,465,Zilol,2,40.0,4,4,34000.0
459,466,Ittifoq,1,35.0,2,4,20000.0
460,467,Ulugʻbek,5,100.0,1,4,71000.0
461,468,Toshloq,2,78.0,4,8,100000.0
462,469,Toshloq,1,20.0,2,4,14500.0
463,470,Ulugʻbek,2,40.0,3,4,27500.0
464,471,Шайхантахурский,3,75.0,2,4,55000.0
465,472,Olmazor,3,90.0,7,9,92000.0
466,473,Zilol,2,137.0,2,6,125000.0
467,474,Olmazor,4,152.0,4,9,140000.0
468,475,Olmazor,3,90.0,3,5,105000.0
469,476,Toshloq,2,55.0,3,4,41000.0
470,477,Zilol,3,90.0,2,9,51000.0
